"Title: Moen 143530 Diverter Plug  
Category: Hardware  
Brand: Moen  
Description: A lightweight, unfinished diverter plug for side spray faucets.  
Details: Measures 4.25 × 0.78 × 0.96 in., weighs 0.02 lb, and is sold as a single unit.",0
"Title: Yosoo Portable X‑Style Piano Keyboard Stand  
Category: Music Accessories  
Brand: Yosoo  
Description: A sturdy, adjustable metal stand for electric keyboards that fits both standing and seated playing.  
Details: Features rubber‑foot anti‑slip base, double‑braced support, and easy height adjustment for versatile use.",0
"Title: Nilight Headlight Assembly for 2003‑2006 Chevy Silverado/Avalanche  
Category: Automotive Lighting  
Brand: Nilight  
Description: A waterproof, plug‑and‑play headlight assembly compatible with 2003‑2006 Chevy Silverado and Avalanche pickups.  
Details: Features a chrome housing, clear reflector, IP65 sealing, and adjustable beam for clear night vision.",0
"Title: Custom Photo iPhone 11 Case – Personalized Design  
Category: Mobile Accessories  
Brand: Uartify Impact  
Description: A slim, shock‑resistant TPU case for the iPhone 11, personalized with your own photo and text.  
Details: Features precise cutouts for all ports, UV‑printed photo that resists fading, and a lightweight, edge‑to‑edge fit for everyday protection.",0
"Title: Funny New Year Greeting Card Box  
Category: Greeting Cards  
Brand: Modern Wit  
Description: A set of eight 4.25""×5.5"" humorously themed New Year cards with envelopes.  
Details: Each card features a witty pre‑written message on premium cardstock, blank inside for personal notes, and comes in sturdy, recyclable kraft envelopes packaged in a protective box.",0
"Title: A-Tech 16GB DDR4 2666MHz Non-ECC UDIMM RAM  
Category: Electronics  
Brand: A-Tech  
Description: 16GB DDR4 memory module for desktop PCs, 2666 MHz, 1.2 V, non‑ECC UDIMM.  
Details: 288‑pin DIMM, fully compatible with Crucial systems, includes lifetime warranty and U.S. tech support.",0
"Title: CAKKA 28‑Pack Valentine Stationery Gift Set  
Category: School Supplies  
Brand: CAKKA  
Description: A colorful Valentine’s Day gift set containing 28 themed notebooks, pencils, erasers, clips, stamps, stickers, cards, string, and goodie bags for kids.  
Details: Made with non‑toxic, eco‑friendly materials and featuring a classic red‑love design, the set provides 252 pieces total for classroom exchange and student‑teacher bonding.",0
"Title: NZND Glitter Liquid Sparkle AirPods Pro Case  
Category: Electronics  
Brand: NZND  
Description: A hard polycarbonate case that fits Apple AirPods Pro (2019) and features a dynamic glitter liquid flow effect.  
Details: Offers full protection, precise cut for charging access, and includes a keychain/clip/strap for added grip.",0
"Title: Bosch Dishwasher Detergent Lid – Gray  
Category: Home Appliance Parts  
Brand: BOSCH  
Description: Genuine Bosch dishwasher detergent lid that securely covers and seals the detergent dispenser.  
Details: Designed for Bosch and Kenmore dishwashers, the gray lid fits standard models and features a reliable gasket for a leak‑proof seal.",0
"Title: 60‑Piece Abstract Boho Bookmarks Set  
Category: Stationery  
Brand: Chinco  
Description: A colorful set of 60 minimalist line bookmarks with botanical and geometric designs for easy page marking.  
Details: Each bookmark is 14 × 5 cm, made from coated paper, double‑sided with a ruler on the back, and includes a 16 × 0.3 cm ribbon for convenient use.",0
